TIME_STEP,Free Chlorine,Conductivity,pH,Temperature,TOC,Turbidity
06/08/2007 00:00,2.06,44.997397,9.5265293,14.6669,0.6444719,0.1899199
06/08/2007 00:05,2.07,44.9911,9.52593,14.6564,0.641543,0.191788
06/08/2007 00:10,2.07,44.9784,9.5360794,14.644999,0.6500919,0.1906029
06/08/2007 00:15,2.07,44.959301,9.5346696,14.6227,0.625475,0.1914839
06/08/2007 00:20,2.06,44.978401,9.5311403,14.6161,0.64178,0.1906409
06/08/2007 00:25,2.06,44.9847,9.5324299,14.618,0.639881,0.190823
06/08/2007 00:30,2.06,44.2347,9.5380297,14.6014,0.628404,0.18954
06/08/2007 00:35,2.06,44.2347,9.5382299,14.602399,0.628166,0.191182
06/08/2007 00:40,2.06,44.2347,9.5423694,14.604001,0.63624,0.1908119
06/08/2007 00:45,2.06,44.2347,9.54495,14.6005,0.617481,0.19308
06/08/2007 00:50,2.05,44.228301,9.5418596,14.598001,0.641702,0.190922
06/08/2007 00:55,2.05,44.228301,9.5435702,14.5973,0.6514369,0.191469
06/08/2007 01:00,2.05,44.2283,9.5420602,14.5862,0.6325199,0.190308
06/08/2007 01:05,2.06,44.221998,9.5415694,14.5805,0.632361,0.190467
06/08/2007 01:10,2.05,44.228298,9.5489597,14.5728,0.631649,0.192321
06/08/2007 01:15,2.05,42.7155,9.5547898,14.561101,0.6252379,0.1949709
06/08/2007 01:20,2.05,42.7155,9.5607495,14.5407,0.621676,0.195122
06/08/2007 01:25,2.06,42.715498,9.5601895,14.5322,0.629749,0.193152
06/08/2007 01:30,2.06,42.715498,9.5590595,14.520399,0.623575,0.195982
06/08/2007 01:35,2.07,42.7155,9.5608793,14.5207,0.60814,0.194476
06/08/2007 01:40,2.07,42.7155,9.5606807,14.5328,0.627137,0.196049
06/08/2007 01:45,2.07,42.7028,9.5621503,14.5217,0.623654,0.194974
06/08/2007 01:50,2.07,41.9527,9.5703399,14.5121,0.6329949,0.19394
06/08/2007 01:55,2.07,41.9527,9.5693799,14.513701,0.6254749,0.195733
06/08/2007 02:00,2.06,41.228102,9.5674702,14.5023,0.603628,0.196081
06/08/2007 02:05,2.07,41.1963,9.5719597,14.513399,0.601333,0.2008459
06/08/2007 02:10,2.07,41.189903,9.5728104,14.5083,0.613048,0.199893
06/08/2007 02:15,2.06,41.209,9.5744298,14.502599,0.6083779,0.201978
06/08/2007 02:20,2.06,41.189903,9.57414,14.4705,0.6120189,0.201245
06/08/2007 02:25,2.06,41.228098,9.5743404,14.4746,0.6405139,0.203609
06/08/2007 02:30,2.06,41.196302,9.5756492,14.4746,0.627612,0.20256
06/08/2007 02:35,2.07,41.215397,9.5755897,14.4673,0.6263449,0.201309
06/08/2007 02:40,2.06,41.2154,9.5744498,14.473,0.631174,0.204101
06/08/2007 02:45,2.06,41.196297,9.5751909,14.4692,0.595159,0.202445
06/08/2007 02:50,2.06,41.196299,9.57557,14.4661,0.584077,0.2029459
06/08/2007 02:55,2.05,41.189901,9.5759692,14.4527,0.596504,0.2048569
06/08/2007 03:00,2.08,41.2026,9.5749898,14.4629,0.579249,0.204339
06/08/2007 03:05,2.07,41.272598,9.5748809,14.458101,0.6278489,0.205118
06/08/2007 03:10,2.06,41.2344,9.5753,14.4505,0.585977,0.206923
06/08/2007 03:15,2.07,41.196304,9.5752292,14.4533,0.575291,0.206161
06/08/2007 03:20,2.07,41.196302,9.5754796,14.458699,0.5984039,0.208055
06/08/2007 03:25,2.06,41.209,9.5744801,14.4584,0.58384,0.208707
06/08/2007 03:30,2.06,41.202603,9.5720704,14.458399,0.6056079,0.2080669
